price_usd,lat,lon,area_m2,country,city,property_type
432000.0,,,,Pakistan,Karachi,House
210600.0,,,,Pakistan,Karachi,House
208800.0,,,,Pakistan,Karachi,House
396000.0,,,,Pakistan,Karachi,House
428400.0,,,,Pakistan,Karachi,House
414000.0,,,,Pakistan,Karachi,House
214200.0,,,,Pakistan,Karachi,House
68400.0,,,,Pakistan,Karachi,House
27180.0,,,,Pakistan,Karachi,Flat
329400.0,,,,Pakistan,Karachi,House
16200.0,,,,Pakistan,Karachi,Flat
24840.0,,,,Pakistan,Karachi,Flat
16200.0,,,,Pakistan,Karachi,Flat
