lat,lon,price_local,currency,area_m2,property_type,transaction_date,yr,city,country,country_iso,source,n_rooms,terrain_m2,postcode,structure,use,build_year,floor_plan,district,address,bis_hpi,esa_tile,dem_tile
48.883359,2.324602,540.0,EUR,,Dépendance,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889295,2.343788,50000.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889295,2.343788,50000.0,EUR,69.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.889295,2.343788,50000.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.877201,2.352312,447500.0,EUR,37.0,Appartement,2023-01-04,2023,Paris 10e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.877201,2.352312,447500.0,EUR,,Dépendance,2023-01-04,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.848359,2.403598,290000.0,EUR,,Dépendance,2023-01-03,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.848359,2.403598,290000.0,EUR,32.0,Appartement,2023-01-03,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.889357,2.35218,402500.0,EUR,,Dépendance,2023-01-10,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889357,2.35218,402500.0,EUR,,Dépendance,2023-01-10,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889357,2.35218,402500.0,EUR,46.0,Appartement,2023-01-10,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.884906,2.334212,665000.0,EUR,,Dépendance,2023-01-11,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.884906,2.334212,665000.0,EUR,57.0,Appartement,2023-01-11,2023,Paris 18e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.850911,2.399414,308000.0,EUR,30.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.873526,2.374565,27900.0,EUR,,Dépendance,2023-01-09,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.855363,2.402427,572634.5,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.855363,2.402427,572634.5,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.855363,2.402427,572634.5,EUR,60.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.880169,2.359607,710000.0,EUR,79.0,Appartement,2023-01-10,2023,Paris 10e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.880169,2.359607,710000.0,EUR,,Dépendance,2023-01-10,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
